mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,mfcc_41,mfcc_42,mfcc_43,mfcc_44,mfcc_45,mfcc_46,mfcc_47,mfcc_48,mfcc_49,mfcc_50,mfcc_51,mfcc_52,mfcc_53,mfcc_54,mfcc_55,mfcc_56,mfcc_57,mfcc_58,mfcc_59,mfcc_60,mfcc_61,mfcc_62,mfcc_63,mfcc_64,mfcc_65,mfcc_66,mfcc_67,mfcc_68,mfcc_69,mfcc_70,mfcc_71,mfcc_72,mfcc_73,mfcc_74,mfcc_75,mfcc_76,mfcc_77,mfcc_78,mfcc_79,mfcc_80,mfcc_81,mfcc_82,mfcc_83,mfcc_84,mfcc_85,mfcc_86,mfcc_87,mfcc_88,mfcc_89,mfcc_90,mfcc_91,mfcc_92,mfcc_93,mfcc_94,mfcc_95,mfcc_96,mfcc_97,mfcc_98,mfcc_99,mfcc_100,mfcc_101,mfcc_102,mfcc_103,mfcc_104,mfcc_105,mfcc_106,mfcc_107,mfcc_108,mfcc_109,mfcc_110,mfcc_111,mfcc_112,mfcc_113,mfcc_114,mfcc_115,mfcc_116,mfcc_117,mfcc_118,mfcc_119,mfcc_120,mfcc_121,mfcc_122,mfcc_123,mfcc_124,mfcc_125,mfcc_126,mfcc_127,label
-391.8252,86.733055,21.75606,13.757183,9.030744,12.091555,12.048173,0.36570874,1.7376573,5.4751897,-5.656949,-6.118983,-5.5719476,-4.7571483,-3.2884645,-0.07131161,-0.12842578,-6.0779266,-2.4412115,-3.0305367,-0.43308055,4.9894648,0.9279866,-3.8689165,0.82688713,-3.5200987,1.2539431,1.5676467,-3.425017,-1.1235596,-3.5602791,-1.2986518,-2.889418,-2.3152196,-3.4262908,-4.224346,-2.8866549,1.1866195,2.886609,4.6611,7.5369086,5.3573427,4.328245,3.6273968,7.799405,8.21895,6.228988,5.490553,4.631427,-0.4020929,-0.24693023,2.3040712,-0.71728635,1.1058217,0.15048411,0.4759562,-1.0644156,0.81989986,-0.22413807,0.9793154,-1.0144919,-0.7682715,-0.58314466,-0.13142198,0.32828832,0.58498424,0.30228218,0.037931297,1.9448826,0.6983862,0.14215446,0.5209877,0.8560354,0.783547,-0.1505205,0.4643376,-0.18492988,0.24111173,-1.0494003,0.31184268,-0.51674026,0.5894,-0.18006948,-0.583871,-0.3596031,-0.51309234,0.082574226,-0.6088563,0.0074664205,0.15984853,0.96710366,1.5065858,1.7587472,1.7732,0.83640134,0.99246687,0.28892747,0.0044534537,-0.6733895,-0.23731956,0.07557309,-0.25782263,-0.105568826,0.9096171,0.7038663,0.4991903,0.54685,0.31728876,0.47608238,0.9316174,0.7553403,0.5473773,0.25438628,0.22046861,-0.024047375,0.07058781,-0.024889693,0.38104594,0.15320383,0.025894048,-0.1215753,-0.37047228,-0.24595785,0.20086257,-0.09608057,-0.052808028,-0.020983212,-0.20477577,buka
-219.55458,95.143524,23.050543,11.27375,12.111441,7.2538767,12.820862,-2.0456984,-0.2795058,7.2768064,-7.029059,-7.047171,-9.19152,-6.422854,-3.832167,-0.06807582,-3.157759,-4.7529917,-6.085726,-4.260391,-3.270961,3.6268778,-1.2083837,-3.9092412,-1.1563871,-2.5771146,-1.4102108,1.5578867,-5.774913,0.08129313,-5.273566,-1.2211581,-2.9392357,-2.5465136,-1.3815469,-1.4741719,-6.2629642,-4.5338163,-4.89043,-1.439269,1.7799513,5.833023,5.5706377,7.932817,5.933995,5.322747,2.6693058,1.9337736,3.8239806,4.397419,2.7759705,3.0847015,-1.3312832,0.7293268,0.90183586,0.6485044,-1.7132015,-0.11055331,-2.029658,1.3017795,0.038713083,0.42008308,-2.3525372,-1.0582279,0.64779097,0.6411468,1.2696265,0.013690343,0.3552876,0.037852183,-0.44494635,0.44316152,-0.43919653,0.04806441,-0.110991664,0.09881536,-1.5676649,-1.8154969,-0.87286633,-0.24093954,-1.1520144,-0.550076,0.63960767,0.3440925,0.5399618,-0.3343938,0.35180035,0.23855925,-0.6366667,-0.57287127,-0.66001385,-0.17922077,-0.3662025,-0.28472868,0.5596748,-0.03380437,-0.62994975,-1.1340653,-0.13506469,0.18397066,-0.3681213,-0.02858762,0.20029321,1.2746954,0.8682546,0.9728419,1.1721631,0.64724016,0.59089863,0.6876446,0.9364732,0.37089533,0.69712204,0.06133486,-0.1706206,0.38099882,0.5339162,0.18540551,-0.2001047,0.79830307,0.57768613,0.4833036,0.56039536,0.23986694,0.010312902,0.07516169,0.010301083,-0.4951849,buka
-231.49965,95.491196,21.78669,16.874832,9.731382,10.7662325,14.763392,2.3153365,0.4828452,3.2605042,-6.200699,-1.7126042,-7.362328,-1.6833941,-0.3366808,-2.1630065,-2.2623572,-2.6849759,-4.889982,-5.064355,-3.1470761,4.2562966,-0.8932915,-2.5883243,-0.28424135,-0.30795777,-2.1823468,2.2203794,-3.465517,-0.5852426,-4.4760394,-1.5398529,-0.26760656,-1.801618,-2.1111703,-0.94260484,-3.3846772,-2.0508077,-0.025608884,0.928652,1.178093,3.480939,1.2251077,3.4049656,0.63565755,1.9712123,3.3347495,6.771887,5.657282,4.7009196,2.130637,0.98590285,-1.4656897,0.32113394,1.4040908,-0.17110349,-1.1770489,-0.059581134,-0.8107601,-0.5621661,0.58250237,-0.68126345,-0.54432476,0.41218418,0.8082445,0.37586474,-0.7161506,0.36674592,-0.49191067,0.20510003,-0.66657805,0.77191645,-0.11088605,-0.06833612,-0.05908403,-0.04673161,-0.4531025,-0.5325963,-2.0236266,-0.24528128,0.27344248,0.4503249,-0.016951194,-0.8454144,-0.19705743,-0.58931625,-0.8633862,-1.3557475,-0.113245904,0.40578353,-0.7345971,-0.19255763,-0.43053782,0.6820649,0.46256578,1.0893791,0.63139135,0.028852785,0.4110641,0.060118772,-0.89294124,-0.49809417,0.08713307,0.18809776,0.44141284,0.6778976,-0.15752491,-0.14785075,0.48496047,1.20025,1.1123629,0.6493817,0.2479549,0.034958307,-0.24959658,-0.2146579,-0.30687603,-0.4670673,-0.9064654,-0.542785,0.45057988,-0.18845694,-0.6414968,-0.19063883,-0.3693353,-0.11992975,0.16737236,-0.20368752,buka
-239.90352,93.402954,20.391285,14.796158,7.593359,8.971307,12.700639,-0.08105777,0.0014423957,4.2892537,-6.7811017,-2.9793773,-8.099751,-2.4107003,-0.21125925,-2.0338569,-2.7437444,-4.011409,-4.7664046,-5.796066,-2.971188,3.305714,-0.107839204,-2.949757,-1.6517287,-3.1318796,-3.84488,0.264105,-6.9548726,-0.15134521,-5.7813034,-2.3689346,-2.1730583,-5.372739,-3.9233809,-2.4033976,0.27407444,0.85530376,2.1948066,4.74143,1.1769527,1.4320159,-1.4892612,3.0700696,3.9371774,4.823461,6.8345785,5.3832083,3.4053862,1.3312335,0.06344968,1.2107573,-1.599782,0.0265901,1.9825481,0.21388565,-1.1213359,-0.33230338,-0.9052476,-0.6058493,1.2296671,-2.0401282,-1.7706071,-1.0741221,0.0121709565,-1.2039933,-1.5825644,-1.3270402,1.0269389,1.1733053,-0.56958944,0.26801205,-0.84891224,0.6410933,1.1190118,1.1364576,0.18994032,0.5962706,-1.0605325,-0.47020862,-0.86922,0.38930932,0.46669328,-0.8291393,-0.7044179,-0.919039,-0.53828716,-0.24562232,-0.024116501,0.011474371,-0.48687655,0.3083314,0.46067524,0.76852703,0.3978672,0.25539118,0.15244672,-1.0144997,-0.055841967,0.3776755,-0.39299467,0.008647039,0.15994269,0.96797425,0.5506437,0.7589306,0.7433681,0.69945514,0.47417992,0.49572644,0.5990272,0.29042485,0.80061656,-0.09904995,0.117710136,0.20594202,0.11219616,-0.04301148,-0.37885168,-0.7095514,-1.4041506,-0.609654,-0.47832805,-0.3132386,-0.027160875,-0.27949733,-0.45490128,-0.20851511,buka
-239.52228,96.24301,13.798207,11.316676,9.502037,7.641552,16.703917,0.59138685,-1.3142829,5.2974663,-8.986366,-1.3696989,-7.2023935,-7.7265234,0.5046004,-3.0005393,-4.273159,-3.4249082,-4.315732,-7.084563,-0.9258008,3.755347,-1.4484502,-3.086323,-3.8754265,-0.12301347,-2.9500005,0.81822145,-5.9841547,-1.0217348,-4.7915816,-3.019454,0.09338122,-4.7356763,-3.2399144,-3.3653297,-2.4143217,-0.36225238,-0.9939201,4.018105,3.244443,5.722401,0.9041734,4.446763,6.3234453,6.6762543,5.954048,5.2843924,0.9333647,-1.8057461,0.61278266,1.9124541,0.94772863,-0.8174355,-0.41500568,-2.4560866,-1.8155451,1.8667233,1.6218604,-0.75781685,-1.3996533,-0.35475746,-0.97693145,1.2573706,-0.94970673,-0.24058522,-0.33604637,1.6272318,0.27665448,0.9357438,-1.2707754,0.49581334,-0.16336288,0.59145546,-0.6583225,-0.21412387,-0.1871381,0.07297002,-0.50534576,-0.5134915,-0.15889186,0.18231773,0.1997517,-0.587295,-0.77231,-0.43943042,-0.6577314,-0.14894862,-0.7591846,1.0363503,0.7726214,1.0546029,0.8644438,-0.067610726,0.078970775,0.22048448,-0.12848097,-0.07030606,-0.54490596,-0.39779228,-0.06343651,-0.012888585,0.1077506,0.48884875,0.52557236,-0.23515145,-0.045557458,-0.25749183,0.1396503,0.11762431,0.7676592,0.34876782,0.1726163,-0.07781966,0.32756764,0.49361742,0.107180536,0.10796599,0.010458484,0.3279139,0.4768172,0.42136073,0.3561271,-0.124047205,-0.059675615,-0.406617,-0.03303833,-0.15823986,buka
-259.80292,96.80133,19.465597,11.098683,9.829651,7.9384923,14.170372,3.087037,-1.173308,6.899849,-4.0680227,-7.8123565,-8.402834,-4.8598046,-2.2912722,-1.9980553,-1.0134645,-3.0058246,-5.0927253,-4.7527666,-1.8225982,2.4778912,-0.5053717,-3.7382233,-2.4039843,-1.1375984,-4.8031125,0.87515527,-5.787936,-2.6409795,-4.0381713,0.78117204,-0.77949893,-5.860823,-3.740313,-2.9524827,-0.26426098,2.496787,4.261074,6.948669,2.8332682,4.7411613,0.5100689,0.399181,2.0110688,2.560389,1.5937297,2.762498,-1.2662585,-1.8630537,0.2792286,2.1056788,-0.057260655,-0.67826515,0.14860927,-0.7741347,-1.9410342,0.15052591,0.5100645,0.4926543,-0.8177537,-0.22500952,-2.2662184,-1.2897269,-0.08958175,-0.33896223,0.18980107,-0.040151987,-1.4424422,0.008761878,0.12727123,0.42867327,1.6254296,1.2273811,-0.3107341,0.7949743,1.7415123,0.41132152,0.6835367,0.36384737,0.18672667,-0.50106907,0.35588112,0.24029425,0.17353217,0.43939507,-0.5927368,-0.42644513,0.18530264,0.5929707,-0.6928694,0.6905847,0.3755654,-0.23400916,-0.7268289,0.46216363,-0.7892307,-1.0407294,-0.2883868,-0.35140198,-0.77293235,-1.0038854,-0.32457152,0.51759946,0.7218112,-0.3600883,-0.20805544,-0.42743766,0.83377993,1.0775824,0.95210135,0.21106842,-0.130702,-0.38668618,-0.39349288,0.015459681,-0.03629774,-0.1673961,-0.12603839,-0.5025483,-0.5363296,-0.4611198,0.041589633,0.50621265,0.135681,0.20602381,-0.23522532,-0.76472807,buka
-206.38766,96.359825,23.984728,12.084601,10.7318125,13.319318,15.112576,0.8856103,3.225643,2.8383245,-6.4283295,-4.5903444,-7.86277,-3.5818188,-0.5638733,-2.287459,-1.0595628,-2.297862,-5.3780546,-2.2412007,-2.3779254,2.3996625,1.8139627,-1.4341407,-1.3848449,-0.5142175,-1.8901317,1.3050177,-3.7767825,-1.2936075,-2.9608645,-1.2910419,-0.16277766,-2.7881057,-4.410007,-2.2492313,-1.9042898,-2.9363194,-2.4010434,1.0991365,1.0693513,4.1890426,1.3506451,1.4570551,0.8706091,2.1261559,3.62664,6.766586,6.590958,5.5652423,4.808916,3.1366208,-1.0485876,-0.33021855,-0.59423256,1.5020921,0.326911,-0.34338805,-0.81061345,-0.69857895,-0.5943455,2.0933716,1.2117708,-0.9560344,-1.3146316,0.5330108,0.5424009,1.6610407,-0.8878867,-0.38789406,-0.27605253,0.26721302,0.35419095,-0.27521506,-2.042412,-0.27011955,-0.12487847,0.2848328,-1.1404232,-0.5147537,-0.03439803,0.88068235,-1.0850273,-0.809601,-0.16677292,0.2220485,-0.9283633,-0.8996072,-0.7212845,0.44852623,0.27764055,-0.44496435,-0.9640203,0.041236084,0.048821088,0.47064677,0.16968426,0.236485,0.78909105,0.07127354,-0.7114058,-0.40071723,-0.13158998,0.54157203,0.6036506,0.82041687,0.6763627,0.059730846,0.3475083,1.1590595,1.0654042,0.32961383,0.35725805,0.4691742,-0.05184766,-0.5616412,0.2827865,-0.44276792,-0.3206249,-0.030219642,-0.059887357,0.05514927,-0.34717694,0.018863909,0.6547064,-0.05117873,-0.33543804,0.21392311,buka
-225.2708,100.695435,23.326643,14.003166,11.063984,11.449078,12.317156,1.7508847,0.6332656,3.6387193,-9.735155,-4.532401,-8.012664,-4.084315,-0.13949202,-1.765459,-2.9788146,-2.4822242,-5.305709,-3.8664231,-1.2192045,4.9463377,1.1020229,-2.3800135,-4.0833898,-1.2589462,-2.02181,2.560208,-4.717869,-1.8892374,-3.2361403,-1.3532423,-1.3212028,-3.1333504,-3.6823845,-4.5569415,-3.2532854,-2.7837145,-2.0989702,2.4509833,3.4295063,5.3323426,3.01744,1.6642029,0.85033566,1.5346843,1.9739342,5.6376705,5.4428773,4.765273,4.906512,4.272164,1.3357278,0.4718195,-1.0179797,0.2484265,0.17787212,-0.31617343,0.89548707,-1.0588464,-2.089025,0.4554303,-0.4775351,-0.27175772,0.6382021,-1.1980023,-0.6086613,0.5842109,-1.0853266,-0.32660794,-1.4822519,-0.2753537,0.54050183,0.024969071,-2.2874947,-1.1431407,-0.45952052,-0.06076599,0.14716548,0.54103523,1.4859823,0.32740125,-0.2973465,-0.9577248,-0.6481421,-0.30770817,-0.55326486,-0.84656525,-1.2214471,-0.9752126,-1.1124449,0.09644921,-0.002935934,-0.54933774,-0.23544608,0.60540086,-0.6812095,-0.8572929,0.6810405,0.7937322,0.18446852,-0.5986024,0.2702883,1.0390679,0.24009746,0.977228,1.0048853,0.06728625,0.27720028,0.8870938,1.2156141,0.39713,0.32333866,-0.12930298,0.8499093,0.26427442,0.57105297,0.0425286,-0.15928699,-0.009673718,-0.05563265,-0.5343254,-0.39918095,0.28691188,-0.16789085,0.24028017,0.27313295,-0.9885336,buka
-255.02707,97.6062,23.150482,16.01114,9.950019,10.440307,14.001793,-0.31459963,1.017285,4.1422873,-6.80619,-5.2452965,-5.953455,-4.4418464,-1.102192,-0.83612335,-4.0433154,-2.2168088,-6.361521,-3.7254648,-2.2011943,3.8839087,1.2330536,-2.7196836,-1.6679589,-1.4752184,-3.438762,0.9572674,-4.096891,-0.84817684,-2.3922079,-0.033757165,-1.4942031,-4.5813003,-2.2646842,-1.4564805,-1.8393396,0.16284953,-0.90108204,4.5017223,2.4277177,5.2063613,3.079705,1.3937564,0.04676465,0.44047302,1.4975624,4.18827,5.9177284,6.6301856,5.4689093,4.694896,0.46229628,-1.094349,-1.2272826,0.8747585,1.6447792,0.48519504,-0.75826126,-1.2487111,-1.6091325,1.690556,-0.3919437,-1.4023758,-0.8642409,0.1086885,0.6778194,1.0108284,-1.5070153,-0.4448258,-0.80160844,-0.36243433,0.07311989,0.4696652,-0.36159635,-0.36452037,0.014091578,0.5452151,0.19061966,-0.15948014,0.08272583,0.30600515,-0.093025796,-0.5638475,-0.5347078,0.3362244,0.06536931,-0.49629533,-0.9049841,0.41188398,0.6986751,-0.121624,-0.24578531,-0.18629819,-0.8646661,0.18488657,-0.16629536,0.26106405,0.3697954,-0.39792395,-0.097654395,0.34199548,0.18714878,0.70100534,0.08024164,0.45113343,0.2018468,-0.33394313,0.58488727,1.0244008,1.4568073,0.6849041,-0.0028542096,-0.61987424,0.10334836,-0.36696777,-0.26794058,0.001149051,-0.50426716,-0.3187457,-0.029988807,-0.68901706,-0.67140627,0.46452954,0.098685585,-0.1811322,0.5732524,0.07404339,buka
-226.85788,97.7,26.266157,15.407944,10.567174,10.732785,13.3200865,-0.1442315,-1.0202521,4.4873137,-4.3546853,-0.45875242,-7.922656,-3.5714445,0.046088982,-4.6920633,-4.1640244,-1.152553,-4.7375326,-5.8481774,-2.352944,1.5086001,-0.34712353,0.46705535,-4.135952,0.41918772,-2.695283,0.5811799,-3.0985732,-0.787044,-3.7497785,-2.8757164,-1.7726518,-5.241031,-2.9392326,-1.3939563,-3.4649937,-2.668281,-2.160182,1.5840877,0.4153334,4.463589,1.8977786,3.0996766,0.499004,2.6949887,4.057419,7.111923,6.2103744,4.544809,4.2250185,1.1034826,0.19102284,-0.1125129,-0.18447295,-0.14490606,-0.9843935,-0.74212414,-0.26117486,0.3309231,-0.9144164,0.76526177,-1.3508075,-0.32788748,-1.0193868,-0.0896586,0.08582942,1.1723162,0.3735254,-0.52070045,-1.202538,0.32324398,0.6251255,-0.60975033,0.2961088,0.13911028,-0.28751302,-0.2624486,-1.1066699,-0.67205215,0.08992189,0.22684014,0.0318154,0.0784827,-0.8725893,0.16957353,-0.58753437,-0.93104553,-0.15415405,-0.050035547,-0.66667944,0.39273015,0.2046379,0.16534142,0.8570968,0.8402483,0.56578785,-0.16611867,0.41100037,0.22909619,-0.121758565,-0.57210094,-0.029816877,0.69680566,0.5421437,1.0477546,0.47444776,-0.13820228,0.32759887,1.0965433,1.3539352,0.10539291,0.26725313,0.0843278,0.6036779,0.12955287,0.030346567,-0.29386085,0.16280682,0.40009084,0.020145144,-0.77281886,-0.7823033,-0.08629089,0.35939935,-0.15329745,-0.42254862,-0.3561155,buka
-238.1061,96.16849,26.875565,13.989244,9.889541,12.501185,12.44533,1.6174741,-1.1506815,2.243732,-4.54759,-1.8452233,-6.9920936,-5.810457,-0.9601081,-2.7534256,-2.466164,-1.180166,-5.4574976,-7.0119905,-1.7512095,2.2032888,0.3978141,-0.40057483,-3.162454,-0.7930495,-3.6287339,-0.7599993,-4.70654,-0.38176343,-4.902669,-1.25992,1.3430148,-3.779655,-1.5669899,-0.18876721,-0.72009254,2.6870418,2.3324523,4.546166,2.7371964,3.1303294,-1.6239339,0.98047227,-0.29722238,1.8229308,2.2153337,3.631959,3.2818532,5.067071,4.425827,1.846657,-0.88078177,-1.0941828,0.49178603,1.8998225,0.21115835,-0.16412264,-2.0089984,-1.115881,-1.3247142,1.2044312,-1.3068056,-1.1277703,-1.5967076,-0.0068568788,-0.18500428,0.33610988,0.10587867,-0.1891934,-0.30688727,-0.09813405,0.5757898,0.88123363,1.5612868,0.26629475,0.8967133,0.39678186,0.034072813,-0.9477201,-0.35795304,0.26764834,0.28267762,-0.52971727,-1.3224539,-0.5486648,-1.215275,-0.7230408,-0.33690205,0.004840161,-0.17992592,-0.15352602,0.3994393,-0.09032704,0.026785249,-0.15726961,-0.2961917,-0.0412412,0.89551055,0.46819922,0.26749074,0.05755032,0.4488213,1.4386673,0.7803681,0.5296912,0.5623256,0.29741335,0.49165663,1.0029548,1.2924877,-0.35873717,0.64179367,-0.087852284,0.14974093,-0.077789545,-0.23532218,-0.13407834,-0.07548074,-0.34153262,-0.6825836,-0.29387927,-0.38429278,-0.53221214,0.27089524,0.08576695,0.029479716,-0.62255037,buka
-306.35767,100.58802,22.762596,10.812809,4.4237704,5.6489005,11.493241,0.25747505,2.2405665,5.489184,-17.377548,-11.61783,-3.8355267,-8.821774,-1.444504,4.66501,-2.9748,-7.277238,1.9698292,-9.324551,-2.9261825,6.995948,-6.2783813,-1.1759834,-5.4326057,-4.9463496,-0.6617137,-0.93723804,-6.5509934,-3.9268374,-5.078091,-3.2137578,0.4583555,-0.0675021,1.3093623,7.023182,3.9323823,6.626947,-0.44673946,-0.8425167,-0.48060638,4.472956,5.8957367,3.4754202,0.759432,0.6226777,0.33325624,0.076635845,2.1352272,1.5463766,0.7383959,0.95730764,0.1940993,0.09089876,0.14429694,0.038417347,-1.1883347,0.011856893,-2.4591486,-1.2063699,-1.4144336,0.47382247,-0.8413401,-2.6074286,-1.5529243,0.75353295,-0.22966053,0.6355719,-0.8979607,1.2416209,2.3087199,1.4759483,1.2968045,0.05896186,0.93676215,0.27412233,-1.7723674,1.4553987,1.0104548,-0.29909372,-1.2953191,-0.61410195,-0.05967212,-0.033519283,0.40824467,1.255013,0.3037271,-0.6931538,-0.37362194,-0.114050575,-0.5129467,-0.58077586,-0.3732287,-0.22685349,0.05579891,0.89969826,-0.40969083,-0.6171149,-0.95587987,-0.055316757,-0.4204758,-0.2700428,0.20303829,0.5803988,0.5641095,0.96658903,0.607797,0.14589445,-0.26111433,0.5691711,0.7895065,0.3376487,-0.009669157,-0.31497887,-0.30510795,-0.16225034,0.13403003,-0.33434084,0.09019463,-0.26311174,-0.60043305,-0.74278325,-0.59121054,-0.50397927,0.4332838,0.0935552,-0.29248816,-0.012602146,buka
-276.49512,105.91864,31.158445,18.032808,8.442829,10.075072,8.170895,-5.9085555,-3.1485527,2.4208252,-14.44332,-6.344223,-2.108422,-8.405421,2.304015,0.7581906,-4.556585,-7.0129232,-3.6885452,-8.759507,-2.5902534,6.6068063,-5.9511123,-1.4774646,-8.094656,-5.931898,-1.5413095,0.3810379,-7.7467585,-2.2226095,-4.996239,-3.0767112,1.297131,-1.0664991,0.6746543,5.856952,0.09043329,0.8519238,-3.8250701,-2.5429718,-1.961446,4.259259,3.5906408,4.1768436,4.660603,4.2106285,1.752183,0.035725564,-1.8806579,-3.6613379,-1.7787107,-0.49822095,0.78155977,0.01373295,1.3021687,6.874805,5.7390866,5.2965865,2.2856162,1.0808775,-0.45766398,1.4704826,-0.66667897,-1.003018,-0.7827689,-0.18544187,1.1012783,2.4533007,2.7532768,0.4417813,-0.94331086,0.6720052,0.66335744,0.65653324,-0.8682748,-0.6207043,-0.8673642,0.33341902,-0.37615028,-0.35763448,-0.64700633,-1.2574692,-0.5912516,-0.48095247,-1.0650247,-0.15800509,-0.15228444,0.9425555,1.6021918,1.0890164,0.44104502,0.14640245,-0.9681056,-1.0465645,-0.69787043,-0.38357964,-0.7532501,-0.71137744,-1.8933328,-0.9197542,-0.275554,-0.14861068,0.013415418,0.23069325,-0.02395628,0.013212534,-0.63917637,-0.1847849,-0.23920543,-0.47610277,1.2579637,1.5278494,0.9630926,-0.088518016,0.45052433,-0.1567113,-0.30075157,0.18761924,0.062353544,0.5959488,0.08461857,0.56932056,-0.015524219,0.59547436,0.6067249,0.14636351,0.25405586,-0.54128194,buka
-280.6649,90.77886,23.139153,19.188356,12.853876,10.61618,8.657458,3.5669315,3.263587,2.6751478,-15.0925455,-4.1402965,-3.8735266,-5.1056876,1.9125326,0.851182,-2.6801836,-4.3978553,-3.8678722,-6.4049954,-1.2448698,5.111157,-5.953634,2.6892638,-4.9075904,-5.267439,-1.0702728,-2.423206,-3.6061726,-0.9357026,-5.080532,-1.8175604,-0.28686625,-2.577658,-0.71263236,4.303001,3.336088,4.877418,2.1433034,1.7854674,1.4916762,5.2494993,7.8246474,7.404656,2.3091962,1.2703569,-1.4369011,-0.24422355,1.0555278,1.5505974,-1.3747475,-0.026706964,-0.7186449,0.16410255,0.34048203,0.65656567,-2.0819077,-0.23955207,-0.16575925,0.08833848,-0.5349478,-0.9578634,-1.9724668,-0.37656718,0.5611843,0.27310064,-0.90668756,0.5353663,-0.17506519,-0.50548196,0.4720149,1.896782,1.2920984,1.2096062,0.5653001,0.9540154,-1.4730641,-0.7520621,-0.96768844,-0.86984587,-0.5927696,0.12712996,-0.6126853,0.92178386,0.74154127,0.45411813,0.59281135,0.20439482,-0.21439071,0.55897737,-0.00992023,0.34289032,-0.42297143,-0.37587336,-0.5619803,0.042747065,0.29687646,-0.29408112,-1.403844,-1.0426052,-0.36615008,0.15150528,-0.03837839,0.5862509,0.22129178,0.7302694,-0.1767088,0.17991999,0.29761004,-0.3639808,1.2478147,0.9508287,0.407686,0.044628367,0.6429427,-0.6526002,-0.72127485,-0.13488524,-0.40770417,0.1444483,-0.37648377,-0.33913216,-0.4743544,-0.581904,-0.16022158,0.20595688,0.058561582,-0.12554148,buka
